master_id,filename,title,author,year,decade,L1,L2,language,cleaned_full_text_path,analysis_text_path,model_source_column,model_token_count_before_df,model_token_count_after_df,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
MASTER_00009,1859_04.txt,On the Musical Notation of the Chinese,"Syle, E. W.",1859,1850,Arts and Archaeology,Music,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_04.txt,analysis_text,1788,441,2.4924950327451397e-4,1.4992308773345586e-5,0.0010124314074281054,5.351698636767692e-6,0.3562567903051829,0.001937948450397333,7.760214369684527e-5,0.002622085134110285,6.571500096213181e-5,8.506330803010861e-4,7.816491643486486e-6,0.0025981160423042765,0.01460370424367176,9.10561318907009e-4,0.005819144758093038,1.1249108400897121e-4,0.5965137664380549,9.581023269276808e-4,0.0021325439424042195,0.013250954321221003
MASTER_00015,1859_05.txt,Lecture on Japan,"Williams, S. W.",1859,1850,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_05.txt,analysis_text,15567,4172,1.059376193718937e-4,7.754661368909091e-5,3.037424915944815e-4,1.5077265491941178e-4,0.015998451315611045,0.008540890076494388,7.056422196344919e-5,9.379652298247371e-5,3.444999231896227e-4,9.959459100720505e-4,1.7349830938609827e-4,3.1557866433766496e-4,6.09910974260917e-4,2.636263780166578e-4,0.025483025882411928,5.990646307079728e-5,0.046507708084717485,0.8208399241876648,0.028226386644602083,0.05083828706164349
MASTER_00013,1859_06.txt,On the Study of the Natural Sciences in Japan,"Pompe van Meedervoort, J. L. C.",1859,1850,Education,Education,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_06.txt,analysis_text,5100,1373,3.379667860623654e-5,6.728796802496589e-6,0.004772837929015551,3.655085922129446e-5,8.455408670735851e-5,1.364345976961103e-4,8.845596231052194e-5,3.3563951526253304e-4,2.1881279647900962e-4,2.1306961439845898e-4,8.451554239928357e-5,9.977407362915872e-5,0.002694867906633396,5.298896264026849e-6,2.4428778743692506e-4,2.685428925433838e-6,0.4633307777303834,0.5002449380025595,5.119894916004985e-4,0.026853984303668674
NA,1859_07.txt,NA,NA,1859,1850,Unknown,Unknown,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_07.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_07.txt,analysis_text,921,229,4.80208322530727e-4,6.473613150876089e-6,0.5462149747504688,1.5469772902448084e-4,1.0111997662134469e-4,7.61705755953992e-4,4.770422779218393e-4,0.003801711540284973,0.0017685279381711495,0.010561572528594286,4.731176206295419e-4,1.03036324901055e-4,0.0014753628397525267,7.760095435960578e-5,0.002164681185790366,4.382547829112198e-5,0.003211577522770729,0.30301072774175775,1.9710948669814057e-5,0.12509232495035494
MASTER_00017,1859_08.txt,Notes on some new species of birds found on the island of Formosa,"Swinhoe, R.",1859,1850,Natural Sciences,Zoology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_08.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_08.txt,analysis_text,3345,823,0.9345365973611766,7.122320712096294e-5,1.6565244902893995e-4,2.3555667909184844e-6,0.0048618010145295544,0.054335331236228156,2.7419706752100362e-8,7.476483992499443e-6,2.693472738048417e-4,0.002097990689405341,1.2218943595096566e-7,4.947817433760838e-5,4.5978268744377385e-5,8.31408814818655e-6,0.001065434060775854,8.679572522083934e-4,2.7281503474089623e-4,2.060987384048951e-4,1.1429720626145097e-6,0.0011348565193566918
MASTER_00012,1859_09.txt,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow","Ward, J.",1859,1850,Natural Sciences,Hydrology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_09.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_09.txt,analysis_text,8595,2462,1.5318032644450386e-4,6.458621431700767e-8,6.704491594585695e-5,1.048676806735483e-4,2.3961303153987353e-5,1.1691830022283212e-4,1.0837817052814393e-7,4.672557317925335e-6,6.838096040416895e-8,0.9988422871944652,6.897716122418331e-7,2.2774358653894645e-5,2.851026893499004e-6,5.713022878713427e-6,5.405098820503085e-5,3.155460243391119e-6,4.805734968538927e-7,9.047333708604288e-5,2.145865972462178e-7,5.064232507638904e-4
MASTER_00014,1859_10.txt,"Thermometrical observations, taken during a passage from Nagasaki to Shanghai","Fedorovitch, J.",1859,1850,Natural Sciences,Meteorology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_10.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_10.txt,analysis_text,4590,1306,1.0334841214552932e-5,5.7637027319368e-5,0.03737575410207571,5.873256047330566e-4,4.8859387934750894e-6,3.010927474992064e-4,3.9269391358448443e-4,0.01009651115942235,7.060194635380685e-5,7.513758940248064e-4,0.018038431060490596,2.7743690459222523e-4,3.7311032039337954e-4,4.190759376255189e-5,1.6915475498834037e-4,3.7046954744717175e-6,0.0016772344596428924,0.927619950250171,6.541208892923712e-5,0.002085444696534604
MASTER_00024,1859_11.txt,Sketches of the Miau - tsze,"Bridgman, E. C.",1859,1850,Anthropology and Social Customs,Ethnology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_11.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_11.txt,analysis_text,16893,4674,4.8144565973391794e-4,1.0780515121655377e-5,1.2644465029662816e-5,0.005220842396453957,0.08963119412265919,5.019419074497413e-4,1.38311445611235e-4,0.010698680166144007,1.9580961297166577e-4,0.05542889944143155,0.005211665436569077,0.04822408353841871,3.964728786039467e-4,0.014659093449929678,0.7508245123501454,0.016212342130841127,4.04689669621715e-4,2.9076742427770736e-4,7.914194455343568e-4,6.644039434519496e-4
MASTER_00018,1860_01.txt,The Small Chinese Lark,"Swinhoe, R.",1859,1850,Natural Sciences,Zoology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_01.txt,analysis_text,2910,750,0.4930838070984086,5.254543005489294e-5,5.466233998636197e-4,5.2347157417166215e-5,0.0837844890586584,0.16011969348059452,1.4009491691475825e-6,8.761709136049104e-4,3.233631181699302e-4,0.029787885617613214,4.9377128252065545e-6,5.632920962931848e-4,0.015725699066479,0.0026496494257889835,0.16908636969385674,0.0025601027300583587,0.002489908028055102,0.005441426558420237,4.1243485729698174e-5,0.03280904497893899
MASTER_00019,1860_02.txt,On the Banishment of Criminals in China,"Macgowan, D. J.",1859,1850,"Politics, Government, and Law",Law,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_02.txt,analysis_text,4185,1044,6.49381851314844e-5,1.0087778774391226e-5,0.008343147256454492,0.08311609039852143,7.844146079359975e-5,4.893848746599581e-5,0.001081467757950661,0.0026745639730500924,0.0021032573872540312,4.525478329283372e-4,0.04584738991151096,0.002353331014742873,0.0022257355853060336,0.001532277811759385,0.16594847641509183,1.0056451424477684e-4,0.15036056108768697,0.49382457750312647,0.035367612570494915,0.004465993067711588
MASTER_00020,1860_03.txt,Cotton in China,"Robertson, D. B.",1859,1850,Natural Sciences,Agriculture,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_03.txt,analysis_text,3000,799,4.961438566241075e-4,0.0034123214405181773,4.371494272090385e-4,0.06713132612169696,0.0028151318333172236,0.009982335517232573,3.0325660530339466e-4,0.02278086155077405,5.421467250223605e-4,0.04606250852541921,0.027984891062735637,0.008808289155123165,3.566490244639619e-4,6.232308246268688e-4,0.011943303801468259,0.05816076191385037,0.004567937546803281,0.013142337110472772,0.15888297578705274,0.5615664421702857
MASTER_00022,1860_04.txt,A Sketch of the Tauist Mythology in its modern form,"Edkins, J.",1859,1850,Anthropology and Social Customs,Mythology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_04.txt,analysis_text,3042,904,1.1309001357832676e-5,3.4252607382011475e-7,7.991854088006152e-6,1.1986546318538036e-4,9.89114631743873e-4,4.6444860629201766e-5,1.4346564306165995e-4,0.2524106229907839,1.3372762196442839e-6,4.6774790217719793e-4,0.003960737722345819,0.0901450569556017,0.1796975796475117,0.4497467210689865,0.001959716103556217,3.6730607250469834e-5,0.019491109993126927,6.309475654922352e-4,2.985368175710871e-5,1.033045050506454e-4
MASTER_00023,1860_05.txt,Narrative of the American Embassy to Peking,"Williams, S. W.",1859,1850,History and Chronology,"History, Modern (20th century)",en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_05.txt,analysis_text,19428,5230,8.395518787745006e-8,9.075265249442424e-8,3.932860803490805e-5,1.4803455446983735e-4,3.032929568346799e-6,3.472568623092434e-6,9.3830088242362e-4,0.02273156948441165,6.582038715918951e-8,1.5004262841701956e-4,0.014111347200785586,3.1324553045661535e-4,0.008596643876015192,0.01316893377913148,3.308286231044482e-4,6.489291159058293e-8,5.889084941858376e-4,0.9387615090458499,5.541663469484786e-5,5.9079738688581035e-5
MASTER_00021,1860_06.txt,"Meteorological tables, from observations made in Japan",NA,1859,1850,Natural Sciences,Meteorology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_06.txt,analysis_text,753,205,0.02381110064053412,3.125073400978662e-4,0.6515109598307316,4.3196057154699566e-4,9.602524470549746e-5,0.001913306191807732,4.057559886994887e-5,2.815606477517087e-4,0.0014673933580491194,0.00553186603884636,2.995864975126888e-5,7.612968407930509e-5,7.727241189764037e-4,8.664857221853426e-6,0.0017253279357480594,1.0169508706575084e-4,0.004804102955705136,0.2820327877823977,4.6835881707151356e-5,0.025004517584406517
MASTER_00031,1860_07.txt,A Sketch of the Life of Confucius,"Edkins, J.",1860,1860,Religion and Philosophy,Confucianism,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_07.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_07.txt,analysis_text,9693,2853,2.3335773006804338e-5,3.9200348165518823e-7,3.265811743169523e-5,6.155659694779471e-4,0.0019953871451437338,9.557048247694721e-5,7.633728957603408e-4,0.04038867469353153,1.1032047373806566e-6,0.013464863907264885,0.008605816050601652,0.1225230806873359,0.5454352767515831,0.25735662870751486,0.0024710682674100298,9.250142648868973e-5,0.004351603375708302,0.0012295762106101357,4.586818993679637e-5,5.07656140497396e-4
MASTER_00028,1860_08.txt,"The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin","John, G.",1860,1860,Religion and Philosophy,Philosophy,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_08.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_08.txt,analysis_text,34485,9500,0.01848604414019477,2.0145393138852067e-6,0.008861284714645168,0.02210671470140902,2.1861035561055998e-4,4.3124931280181085e-4,8.621669124077228e-5,0.03267085174174079,3.106044469279826e-5,0.14166660226047606,5.649063224165281e-5,4.7063216920270037e-4,0.4811982588488542,0.07498112753848624,0.04774433526084265,4.3692130868312285e-4,0.001065665582055379,0.0046636279322047735,1.2651200539896238e-5,0.1648096406247638
MASTER_00032,1860_09.txt,Supplemental memorandum on the present state of the magnetic elements in China and places adjacent,"Shadwell, C. F. A.",1860,1860,Natural Sciences,Meteorology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_09.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_09.txt,analysis_text,1338,394,6.626629107804051e-4,1.6800936713455837e-4,0.06977465491939934,0.0011999067919657381,5.999159642426261e-5,9.258614183404809e-4,3.411169919600926e-5,1.820932828975136e-4,2.1708416541802594e-4,0.01407765949849829,9.433008470297779e-5,7.514143830642393e-5,2.0244438528545545e-4,3.479527303416163e-6,6.418202623770334e-4,2.4480245467495227e-5,0.0012193234059174358,0.4825912893796834,6.608540015160317e-4,0.42718480161938577
MASTER_00034,1860_11.txt,Winds and weather at Chefoo,Editorial Committee,1860,1860,Natural Sciences,Meteorology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_11.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_11.txt,analysis_text,420,106,0.0037049508677359753,5.097633153190541e-4,0.31506540991558474,0.002420466847325985,2.0479958992851522e-4,0.0053164575785723325,1.0820918228038655e-4,8.844659154790132e-4,8.483524029277381e-4,0.043890614812399566,3.279018825516392e-4,2.6131202776011857e-4,5.238298873223171e-4,1.56488896321762e-5,0.0016463395096023813,2.147716767023507e-4,0.0032941460279835586,0.40028035321187616,3.009498499062141e-4,0.22018125660910973
MASTER_00065,1866_01.txt,"Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c","Williamson, A.",1865,1860,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1866_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1866_01.txt,analysis_text,13623,3942,2.8788235827414423e-5,9.328758061804844e-8,8.876179743888325e-5,9.780277760192502e-4,0.0010759685488487534,4.58522231209702e-5,1.0034312095844358e-4,0.015846108669397674,3.7816562547078874e-8,0.577198214966419,0.0012734693568672508,0.11809582586538175,0.0878384720666244,0.190718507231547,0.002616659286329791,5.491892775824871e-6,2.4951964196676373e-4,0.0029490774819164864,9.316256935021207e-6,8.814644774823809e-4
INDEX_00062,1866_02.txt,"Account of an Overland Journey from Peking to Shanghai, made in February and March 1866",NA,1866,1860,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1866_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1866_02.txt,analysis_text,7485,2069,5.1326937837716045e-5,2.0282227601308497e-5,0.003388754508392079,0.05028806022688597,6.521759619447345e-4,1.0681989839142731e-4,0.07271416182713318,0.008997429713767864,3.0628954602252184e-6,0.42921173250252836,0.0045009529563260955,0.034284932989134265,0.03240633309582376,0.029017855813750926,0.017204890839334026,2.565640461353641e-5,0.008729174213361742,0.21644620433119333,0.001733573879364696,0.09021661877715469
INDEX_00063,1866_03.txt,An account of a translation of a Japanese Manuscript,NA,1866,1860,History and Chronology,History,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1866_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1866_03.txt,analysis_text,10788,2747,2.6385042111636687e-6,4.840357809984326e-6,5.1230946305906915e-5,1.3176388382640832e-4,0.0028684275301127746,8.905172024664803e-7,0.5661095205400799,0.0044125592806478564,2.2165939509599545e-7,8.458639090324162e-4,4.906638918212846e-4,7.066918270669925e-4,0.12560037506878335,0.10126910680955387,0.11002516918313579,2.2666857971849378e-5,0.00178121636966699,0.07907020569383823,0.006211850804713763,3.940963648240557e-4
MASTER_00064,1866_04.txt,Description of the Great Examination Hall at Canton,"Keer, J. G.",1865,1860,Arts and Archaeology,Architecture,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1866_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1866_04.txt,analysis_text,3183,913,8.040984908373845e-5,4.228272337957807e-6,8.130863065286306e-4,4.3429782231909475e-4,0.002276447802059322,6.696666219676062e-4,6.182096160844743e-4,0.00188388616487737,2.237260461111445e-7,0.012882649991927913,0.001169804468730684,0.08050388924132028,0.014480200187104057,0.462272173134134,0.002534884839266169,3.174550890949961e-7,0.10514534878454751,0.2780112790405438,0.004226357533643738,0.031992639142388486
MASTER_00068,1866_05.txt,Notes on the opinions of the Chinese with regard to eclipses,"Wylie, A.",1866,1860,Natural Sciences,Astronomy,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1866_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1866_05.txt,analysis_text,4404,1177,0.028080835736534773,0.019331854049472786,0.0022879735929849238,1.8985384655513518e-4,0.09379479193785194,0.1987319251456206,1.7296265099476282e-4,0.08464099951333273,0.003169959984945207,0.001633768195780022,4.3181438880159827e-4,0.0014212318006160088,0.006608346579441476,0.001385230206431997,0.08621496958095141,0.09458620521403821,0.208223004470796,0.10881133475113115,9.443543834592491e-4,0.05933858397025998
MASTER_00069,1866_06.txt,Political intercourse between China and Lewchew,"Williams, S. W.",1866,1860,History and Chronology,History,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1866_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1866_06.txt,analysis_text,7611,2102,4.264384434781131e-8,3.3610806662143437e-6,3.4177562381572004e-5,5.545637518355562e-4,9.048429828693981e-5,7.343165582906401e-7,0.042898678609476174,0.07410007538672772,3.0494645685901716e-8,1.8634523597557283e-4,0.0696286764421471,0.0025393131586500255,0.037662002836182075,0.21473301367092726,0.0018494269187389616,1.861454029414628e-6,0.001618118600333371,0.5378418465553259,0.015879089368377397,3.781576148902269e-4
MASTER_00067,1866_07.txt,Notes on some outlying coal-fields in the south-eastern provinces of China,"Kingsmill, T. W.",1865,1860,Natural Sciences,Geology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1866_07.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1866_07.txt,analysis_text,6807,1972,0.0027546520036247184,9.760392781906213e-5,3.2385943873664447e-4,0.006323780043465009,8.030621705633674e-5,4.477106312015321e-4,8.674713288073488e-7,6.932297357416692e-5,7.048884564277773e-6,0.06925094500498942,1.9087403772811863e-5,8.038971226088455e-4,1.6916480510021135e-5,5.411899309239233e-6,1.1888307170285697e-4,4.046271069410255e-4,6.263432744442749e-5,3.9714263006131645e-4,2.1598436063320246e-4,0.9185993190006564
