K,topic_id,rank,theta,master_id,title,author,year,decade,L1,topic_label
25,0,11,0.4424582928080521,MASTER_00018,The Small Chinese Lark,"Swinhoe, R.",1859,1850,Natural Sciences,"FREX: styan, kiangyin, chinkiang, alligator, genus, flying_fish, warbler, swinhoe, dove, soochow | Prob: genus, birds, species, chinkiang, styan, family, bird, winter, fish, white | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Notes on some new species of birds found on the island of Formosa; Beginning of the study of the flora and fauna of Soochow and vicinity, A"
25,0,12,0.4129738695556927,MASTER_00372,Two new species of Chinese snakes *,"Stanley, A.",1916,1910,Natural Sciences,"FREX: styan, kiangyin, chinkiang, alligator, genus, flying_fish, warbler, swinhoe, dove, soochow | Prob: genus, birds, species, chinkiang, styan, family, bird, winter, fish, white | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Notes on some new species of birds found on the island of Formosa; Beginning of the study of the flora and fauna of Soochow and vicinity, A"
25,1,1,0.9995066999096904,MASTER_00180,Corea,"Scherzer, F., trans. Gould, C.",1883,1880,Anthropology and Social Customs,"FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, poppy, plum, var | Prob: length, manchuria, breadth, rice, var, fruits, length_breadth, variety, district, plants | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
25,1,2,0.9994865139988396,MASTER_00180,Corea,"Scherzer, F., trans. Gould, C.",1883,1880,Anthropology and Social Customs,"FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, poppy, plum, var | Prob: length, manchuria, breadth, rice, var, fruits, length_breadth, variety, district, plants | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
25,1,3,0.9994705761263102,MASTER_00180,Corea,"Scherzer, F., trans. Gould, C.",1883,1880,Anthropology and Social Customs,"FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, poppy, plum, var | Prob: length, manchuria, breadth, rice, var, fruits, length_breadth, variety, district, plants | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
25,1,4,0.9992763789227754,,,,1920,1920,Unknown,"FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, poppy, plum, var | Prob: length, manchuria, breadth, rice, var, fruits, length_breadth, variety, district, plants | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
25,1,5,0.9992497608790628,,,,1920,1920,Unknown,"FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, poppy, plum, var | Prob: length, manchuria, breadth, rice, var, fruits, length_breadth, variety, district, plants | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
25,1,6,0.9573158685088452,MASTER_00410,Formosa,,1919,1910,Geography and Travel,"FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, poppy, plum, var | Prob: length, manchuria, breadth, rice, var, fruits, length_breadth, variety, district, plants | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
25,1,7,0.5471376167703821,MASTER_00309,Java,"Mencarini, J.",1905,1900,Geography and Travel,"FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, poppy, plum, var | Prob: length, manchuria, breadth, rice, var, fruits, length_breadth, variety, district, plants | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
25,1,8,0.2130963276030753,MASTER_00051,"Sorgo, or Northern Chinese sugar cane","Collins, V. D.",1865,1860,Natural Sciences,"FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, poppy, plum, var | Prob: length, manchuria, breadth, rice, var, fruits, length_breadth, variety, district, plants | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
25,1,9,0.1843297642743547,MASTER_00068,Notes on the opinions of the Chinese with regard to eclipses,"Wylie, A.",1866,1860,Natural Sciences,"FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, poppy, plum, var | Prob: length, manchuria, breadth, rice, var, fruits, length_breadth, variety, district, plants | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
25,1,10,0.1315719952915154,MASTER_00529,Contributions from the Herbarium of the Shantung Christian University,"Jacot, A. P.",1928,1920,Natural Sciences,"FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, poppy, plum, var | Prob: length, manchuria, breadth, rice, var, fruits, length_breadth, variety, district, plants | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
25,1,11,0.1169194539306898,MASTER_00412,"Beginning of the study of the flora and fauna of Soochow and vicinity, A","Gee, N. G.",1919,1910,Natural Sciences,"FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, poppy, plum, var | Prob: length, manchuria, breadth, rice, var, fruits, length_breadth, variety, district, plants | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
25,1,12,0.0955410241706917,MASTER_00020,Cotton in China,"Robertson, D. B.",1859,1850,Natural Sciences,"FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, poppy, plum, var | Prob: length, manchuria, breadth, rice, var, fruits, length_breadth, variety, district, plants | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
25,2,1,0.9998477815124944,MASTER_00159,The Climate of Eastern Asia,"Fritsche, H.",1877,1870,Natural Sciences,"FREX: temperature, victoria, vapour, amoor, nerchinsk, eastern_asia, hourly, diff, latitude, minimum | Prob: temperature, mean, eastern, asia, annual, peking, sea, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
25,2,2,0.9998163342409246,MASTER_00159,The Climate of Eastern Asia,"Fritsche, H.",1877,1870,Natural Sciences,"FREX: temperature, victoria, vapour, amoor, nerchinsk, eastern_asia, hourly, diff, latitude, minimum | Prob: temperature, mean, eastern, asia, annual, peking, sea, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
25,2,3,0.9017904327335112,MASTER_00124,"Meteorological observations, April - December 1872",Meteorological Committee,1871,1870,Natural Sciences,"FREX: temperature, victoria, vapour, amoor, nerchinsk, eastern_asia, hourly, diff, latitude, minimum | Prob: temperature, mean, eastern, asia, annual, peking, sea, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
25,2,4,0.6328180054356869,MASTER_00021,"Meteorological tables, from observations made in Japan",,1859,1850,Natural Sciences,"FREX: temperature, victoria, vapour, amoor, nerchinsk, eastern_asia, hourly, diff, latitude, minimum | Prob: temperature, mean, eastern, asia, annual, peking, sea, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
25,2,5,0.443534159885241,MASTER_00350,Notes on temperatures in high altitudes on the Tibetan border,"Edgar, J. H.",1914,1910,Natural Sciences,"FREX: temperature, victoria, vapour, amoor, nerchinsk, eastern_asia, hourly, diff, latitude, minimum | Prob: temperature, mean, eastern, asia, annual, peking, sea, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
25,2,6,0.3947607057543825,MASTER_00004,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850,Natural Sciences,"FREX: temperature, victoria, vapour, amoor, nerchinsk, eastern_asia, hourly, diff, latitude, minimum | Prob: temperature, mean, eastern, asia, annual, peking, sea, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
25,2,7,0.3046625099896378,MASTER_00034,Winds and weather at Chefoo,Editorial Committee,1860,1860,Natural Sciences,"FREX: temperature, victoria, vapour, amoor, nerchinsk, eastern_asia, hourly, diff, latitude, minimum | Prob: temperature, mean, eastern, asia, annual, peking, sea, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
25,2,8,0.2853567749189349,MASTER_00558,Climatic changes during historic time in China,Coching Chu（竺可桢）,1931,1930,Natural Sciences,"FREX: temperature, victoria, vapour, amoor, nerchinsk, eastern_asia, hourly, diff, latitude, minimum | Prob: temperature, mean, eastern, asia, annual, peking, sea, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
25,2,9,0.2626902904068603,MASTER_00161,Periodical change of terrestrial magnetism *,"Schulze, F. W.",1878,1870,Natural Sciences,"FREX: temperature, victoria, vapour, amoor, nerchinsk, eastern_asia, hourly, diff, latitude, minimum | Prob: temperature, mean, eastern, asia, annual, peking, sea, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
25,2,10,0.1944358434245804,MASTER_00036,Notes on some of the physical causes which modify climate,"Henderson, J.",1864,1860,Natural Sciences,"FREX: temperature, victoria, vapour, amoor, nerchinsk, eastern_asia, hourly, diff, latitude, minimum | Prob: temperature, mean, eastern, asia, annual, peking, sea, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
25,2,11,0.1941604163119535,MASTER_00176,Notes on the south coast of Saghalien,"Anderson, G. C.",1882,1880,Geography and Travel,"FREX: temperature, victoria, vapour, amoor, nerchinsk, eastern_asia, hourly, diff, latitude, minimum | Prob: temperature, mean, eastern, asia, annual, peking, sea, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
25,2,12,0.1752779460989008,,,,1859,1850,Unknown,"FREX: temperature, victoria, vapour, amoor, nerchinsk, eastern_asia, hourly, diff, latitude, minimum | Prob: temperature, mean, eastern, asia, annual, peking, sea, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
25,3,1,0.9994082588071812,MASTER_00156,"Droughts in China, A. D. 620-1643","Hosie, A.",1877,1870,Natural Sciences,"FREX: chehkiang, tax, land_tax, drought, cheo, salt, likin, remitted, roads, fuhkien | Prob: summer, taels, salt, road, cheo, spring, drought, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
25,3,2,0.9994020425995168,MASTER_00156,"Droughts in China, A. D. 620-1643","Hosie, A.",1877,1870,Natural Sciences,"FREX: chehkiang, tax, land_tax, drought, cheo, salt, likin, remitted, roads, fuhkien | Prob: summer, taels, salt, road, cheo, spring, drought, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
25,3,3,0.9912212476675742,MASTER_00273,Chinese revenue,"Parker, E. H.",1894,1890,"Economy, Trade, and Technology","FREX: chehkiang, tax, land_tax, drought, cheo, salt, likin, remitted, roads, fuhkien | Prob: summer, taels, salt, road, cheo, spring, drought, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
25,3,4,0.9614096085123132,MASTER_00231,The Salt revenue of China,"Parker, E. H.",1887,1880,"Economy, Trade, and Technology","FREX: chehkiang, tax, land_tax, drought, cheo, salt, likin, remitted, roads, fuhkien | Prob: summer, taels, salt, road, cheo, spring, drought, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
25,3,5,0.9043464380078524,MASTER_00261,"Salt administration of Ssuch'uan, The","Rosthorn, A. von",1892,1890,"Politics, Government, and Law","FREX: chehkiang, tax, land_tax, drought, cheo, salt, likin, remitted, roads, fuhkien | Prob: summer, taels, salt, road, cheo, spring, drought, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
25,3,6,0.8306445984595596,MASTER_00266,Inland communications in China *,"Kingsmill, T. W.",1893,1890,"Economy, Trade, and Technology","FREX: chehkiang, tax, land_tax, drought, cheo, salt, likin, remitted, roads, fuhkien | Prob: summer, taels, salt, road, cheo, spring, drought, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
25,3,7,0.7374134752322944,MASTER_00192,Trade routes to Western China,"Hosie, A.",1884,1880,"Economy, Trade, and Technology","FREX: chehkiang, tax, land_tax, drought, cheo, salt, likin, remitted, roads, fuhkien | Prob: summer, taels, salt, road, cheo, spring, drought, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
25,3,8,0.6292373482756055,INDEX_00271,THE FINANCIAL CAPACITY OF CHINA.,E. H. PARKER,1895,1890,"Economy, Trade, and Technology","FREX: chehkiang, tax, land_tax, drought, cheo, salt, likin, remitted, roads, fuhkien | Prob: summer, taels, salt, road, cheo, spring, drought, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
25,3,9,0.5333768571882788,MASTER_00228,"The Military organization of China prior to 1842, as described by Wei Yuan","Parker, E. H.",1887,1880,Military | Natural Sciences,"FREX: chehkiang, tax, land_tax, drought, cheo, salt, likin, remitted, roads, fuhkien | Prob: summer, taels, salt, road, cheo, spring, drought, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
25,3,10,0.3112263879410269,MASTER_00230,Notes on the early history of the salt monopoly in China,"Hirth, F.",1887,1880,"Politics, Government, and Law","FREX: chehkiang, tax, land_tax, drought, cheo, salt, likin, remitted, roads, fuhkien | Prob: summer, taels, salt, road, cheo, spring, drought, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
25,3,11,0.2963369402941215,MASTER_00496,Flood and famine in North China,"Turner, F. B.",1926,1920,Natural Sciences,"FREX: chehkiang, tax, land_tax, drought, cheo, salt, likin, remitted, roads, fuhkien | Prob: summer, taels, salt, road, cheo, spring, drought, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
25,3,12,0.2576852904334153,MASTER_00232,Remarks on the production of salt in China,"Zwehtkoff, P., Trans. Carles, W. R.",1887,1880,Natural Sciences,"FREX: chehkiang, tax, land_tax, drought, cheo, salt, likin, remitted, roads, fuhkien | Prob: summer, taels, salt, road, cheo, spring, drought, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
25,4,1,0.96610619561281,MASTER_00430,"Marriage maker, The","Kliene, C.",1921,1920,Literature and Language,"FREX: wear, woman, festival, fox, gods, clothes, demon, women, hell, games | Prob: women, god, moon, house, children, white, shall, night, away, home | Representative: Marriage maker, The; Some Chinese funeral customs; Chinese children's games; Shanghai folk - lore"
25,4,2,0.96569801825926,MASTER_00430,"Marriage maker, The","Kliene, C.",1921,1920,Literature and Language,"FREX: wear, woman, festival, fox, gods, clothes, demon, women, hell, games | Prob: women, god, moon, house, children, white, shall, night, away, home | Representative: Marriage maker, The; Some Chinese funeral customs; Chinese children's games; Shanghai folk - lore"
25,4,3,0.9311734240614926,MASTER_00302,Some Chinese funeral customs,"Walshe, W. G.",1903,1900,Anthropology and Social Customs,"FREX: wear, woman, festival, fox, gods, clothes, demon, women, hell, games | Prob: women, god, moon, house, children, white, shall, night, away, home | Representative: Marriage maker, The; Some Chinese funeral customs; Chinese children's games; Shanghai folk - lore"
25,4,4,0.9281872245085134,MASTER_00314,Chinese children's games,"Headland, I. T.",1906,1900,Anthropology and Social Customs,"FREX: wear, woman, festival, fox, gods, clothes, demon, women, hell, games | Prob: women, god, moon, house, children, white, shall, night, away, home | Representative: Marriage maker, The; Some Chinese funeral customs; Chinese children's games; Shanghai folk - lore"
25,4,5,0.9236290976553608,MASTER_00298,Shanghai folk - lore,"Box, E.",1901,1900,Anthropology and Social Customs,"FREX: wear, woman, festival, fox, gods, clothes, demon, women, hell, games | Prob: women, god, moon, house, children, white, shall, night, away, home | Representative: Marriage maker, The; Some Chinese funeral customs; Chinese children's games; Shanghai folk - lore"
25,4,6,0.86861160645028,MASTER_00114,Chinese lyrics,"Stent, G. C.",1871,1870,Arts and Archaeology,"FREX: wear, woman, festival, fox, gods, clothes, demon, women, hell, games | Prob: women, god, moon, house, children, white, shall, night, away, home | Representative: Marriage maker, The; Some Chinese funeral customs; Chinese children's games; Shanghai folk - lore"
25,4,7,0.8436725244728719,MASTER_00024,Sketches of the Miau - tsze,"Bridgman, E. C.",1859,1850,Anthropology and Social Customs,"FREX: wear, woman, festival, fox, gods, clothes, demon, women, hell, games | Prob: women, god, moon, house, children, white, shall, night, away, home | Representative: Marriage maker, The; Some Chinese funeral customs; Chinese children's games; Shanghai folk - lore"
25,4,8,0.8158979963058844,MASTER_00334,"Great Summer Festival of China as observed in Foochow, The","Hodous, L.",1912,1910,Anthropology and Social Customs,"FREX: wear, woman, festival, fox, gods, clothes, demon, women, hell, games | Prob: women, god, moon, house, children, white, shall, night, away, home | Representative: Marriage maker, The; Some Chinese funeral customs; Chinese children's games; Shanghai folk - lore"
25,4,9,0.8128968965494252,MASTER_00268,"Yu - li or Precious Records, The *","Clarke, G. W.",1893,1890,History and Chronology,"FREX: wear, woman, festival, fox, gods, clothes, demon, women, hell, games | Prob: women, god, moon, house, children, white, shall, night, away, home | Representative: Marriage maker, The; Some Chinese funeral customs; Chinese children's games; Shanghai folk - lore"
25,4,10,0.7571191986844434,,,,1926,1920,Unknown,"FREX: wear, woman, festival, fox, gods, clothes, demon, women, hell, games | Prob: women, god, moon, house, children, white, shall, night, away, home | Representative: Marriage maker, The; Some Chinese funeral customs; Chinese children's games; Shanghai folk - lore"
25,4,11,0.7337191228513666,MASTER_00309,Java,"Mencarini, J.",1905,1900,Geography and Travel,"FREX: wear, woman, festival, fox, gods, clothes, demon, women, hell, games | Prob: women, god, moon, house, children, white, shall, night, away, home | Representative: Marriage maker, The; Some Chinese funeral customs; Chinese children's games; Shanghai folk - lore"
25,4,12,0.7024377159843512,MASTER_00425,"Hainanese Miao, The *","Moninger, M. M.",1921,1920,Anthropology and Social Customs,"FREX: wear, woman, festival, fox, gods, clothes, demon, women, hell, games | Prob: women, god, moon, house, children, white, shall, night, away, home | Representative: Marriage maker, The; Some Chinese funeral customs; Chinese children's games; Shanghai folk - lore"
25,5,1,0.8884700355866102,MASTER_00360,Chinese pagodas,"Couling, S.",1915,1910,Arts and Archaeology,"FREX: architecture, monuments, pagodas, towers, pagoda, chinese_art, cave, tower, temples, roof | Prob: temple, tai, stone, feet, art, wall, temples, buddhist, peking, pagoda | Representative: Chinese pagodas; Chinese Embroidery and Other Art Textile Work; Chinese wood carving *; Relation of Chinese and Siamese, The *"
25,5,2,0.813315054366547,INDEX_00343,Chinese Embroidery and Other Art Textile Work,"Stanley, A.",1913,1910,Arts and Archaeology,"FREX: architecture, monuments, pagodas, towers, pagoda, chinese_art, cave, tower, temples, roof | Prob: temple, tai, stone, feet, art, wall, temples, buddhist, peking, pagoda | Representative: Chinese pagodas; Chinese Embroidery and Other Art Textile Work; Chinese wood carving *; Relation of Chinese and Siamese, The *"
25,5,3,0.7916610497849206,MASTER_00352,Chinese wood carving *,"Stanley, A.",1914,1910,Arts and Archaeology,"FREX: architecture, monuments, pagodas, towers, pagoda, chinese_art, cave, tower, temples, roof | Prob: temple, tai, stone, feet, art, wall, temples, buddhist, peking, pagoda | Representative: Chinese pagodas; Chinese Embroidery and Other Art Textile Work; Chinese wood carving *; Relation of Chinese and Siamese, The *"
25,5,4,0.7535916902270822,MASTER_00415,"Relation of Chinese and Siamese, The *","Dodd, W. C.",1920,1920,Anthropology and Social Customs,"FREX: architecture, monuments, pagodas, towers, pagoda, chinese_art, cave, tower, temples, roof | Prob: temple, tai, stone, feet, art, wall, temples, buddhist, peking, pagoda | Representative: Chinese pagodas; Chinese Embroidery and Other Art Textile Work; Chinese wood carving *; Relation of Chinese and Siamese, The *"
25,5,5,0.7468670564887958,MASTER_00415,"Relation of Chinese and Siamese, The *","Dodd, W. C.",1920,1920,Anthropology and Social Customs,"FREX: architecture, monuments, pagodas, towers, pagoda, chinese_art, cave, tower, temples, roof | Prob: temple, tai, stone, feet, art, wall, temples, buddhist, peking, pagoda | Representative: Chinese pagodas; Chinese Embroidery and Other Art Textile Work; Chinese wood carving *; Relation of Chinese and Siamese, The *"
25,5,6,0.6876123895831278,MASTER_00330,T'ai Shan *,"Moule, A. C.",1912,1910,Religion and Philosophy,"FREX: architecture, monuments, pagodas, towers, pagoda, chinese_art, cave, tower, temples, roof | Prob: temple, tai, stone, feet, art, wall, temples, buddhist, peking, pagoda | Representative: Chinese pagodas; Chinese Embroidery and Other Art Textile Work; Chinese wood carving *; Relation of Chinese and Siamese, The *"
25,5,7,0.6816103986925138,MASTER_00357,Putoshan *,"Stanley, A.",1915,1910,Arts and Archaeology,"FREX: architecture, monuments, pagodas, towers, pagoda, chinese_art, cave, tower, temples, roof | Prob: temple, tai, stone, feet, art, wall, temples, buddhist, peking, pagoda | Representative: Chinese pagodas; Chinese Embroidery and Other Art Textile Work; Chinese wood carving *; Relation of Chinese and Siamese, The *"
25,5,8,0.6652211605751659,MASTER_00333,Chinese art metal work *,"Stanley, A.",1912,1910,Arts and Archaeology,"FREX: architecture, monuments, pagodas, towers, pagoda, chinese_art, cave, tower, temples, roof | Prob: temple, tai, stone, feet, art, wall, temples, buddhist, peking, pagoda | Representative: Chinese pagodas; Chinese Embroidery and Other Art Textile Work; Chinese wood carving *; Relation of Chinese and Siamese, The *"
