L1,topic_id,count
Literature and Language,13,4
Literature and Language,14,3
Literature and Language,16,57
Literature and Language,17,2
Literature and Language,18,1
Literature and Language,19,3
Literature and Language,20,4
Literature and Language,21,38
Literature and Language,23,4
Literature and Language,24,33
Literature and Language,25,1
Literature and Language,26,39
Literature and Language,27,10
Literature and Language,28,3
Literature and Language,30,1
Literature and Language,31,6
Literature and Language,32,22
Military | Natural Sciences,0,1
Military | Natural Sciences,1,2
Military | Natural Sciences,2,3
Military | Natural Sciences,4,8
Military | Natural Sciences,7,4
Military | Natural Sciences,8,3
Military | Natural Sciences,9,1
Military | Natural Sciences,10,5
Military | Natural Sciences,11,10
Military | Natural Sciences,12,1
Military | Natural Sciences,13,3
Military | Natural Sciences,14,1
Military | Natural Sciences,17,2
Military | Natural Sciences,22,1
Military | Natural Sciences,23,1
Military | Natural Sciences,26,1
Natural Sciences,0,1667
Natural Sciences,1,490
Natural Sciences,2,32
Natural Sciences,3,36
Natural Sciences,4,15
Natural Sciences,5,289
Natural Sciences,6,22
Natural Sciences,7,31
Natural Sciences,8,5
Natural Sciences,9,28
Natural Sciences,10,103
Natural Sciences,11,48
Natural Sciences,12,7
Natural Sciences,13,9
Natural Sciences,14,120
Natural Sciences,15,183
Natural Sciences,16,8
Natural Sciences,17,3
Natural Sciences,18,7
Natural Sciences,19,43
Natural Sciences,20,6
Natural Sciences,21,6
Natural Sciences,22,1
Natural Sciences,23,2
Natural Sciences,24,20
Natural Sciences,25,106
Natural Sciences,26,23
Natural Sciences,27,10
Natural Sciences,28,2
Natural Sciences,29,62
Natural Sciences,31,61
Natural Sciences,32,2
"Politics, Government, and Law",0,1
"Politics, Government, and Law",1,6
"Politics, Government, and Law",2,8
"Politics, Government, and Law",3,6
"Politics, Government, and Law",4,28
"Politics, Government, and Law",6,2
"Politics, Government, and Law",9,15
"Politics, Government, and Law",10,31
"Politics, Government, and Law",11,39
"Politics, Government, and Law",16,26
"Politics, Government, and Law",17,176
"Politics, Government, and Law",18,84
"Politics, Government, and Law",20,26
"Politics, Government, and Law",21,1
"Politics, Government, and Law",26,3
"Politics, Government, and Law",31,13
Religion and Philosophy,0,24
Religion and Philosophy,1,55
Religion and Philosophy,2,299
Religion and Philosophy,3,70
Religion and Philosophy,4,142
Religion and Philosophy,5,1
Religion and Philosophy,6,3
Religion and Philosophy,7,23
Religion and Philosophy,8,29
Religion and Philosophy,9,356
Religion and Philosophy,10,41
Religion and Philosophy,11,6
Religion and Philosophy,12,46
Religion and Philosophy,13,1
Religion and Philosophy,14,40
Religion and Philosophy,15,2
Religion and Philosophy,16,20
Religion and Philosophy,17,12
Religion and Philosophy,18,6
Religion and Philosophy,19,9
Religion and Philosophy,20,168
Religion and Philosophy,21,111
Religion and Philosophy,22,1
Religion and Philosophy,23,191
Religion and Philosophy,24,7
Religion and Philosophy,25,4
Religion and Philosophy,26,11
Religion and Philosophy,27,53
Religion and Philosophy,28,2
Religion and Philosophy,29,5
Religion and Philosophy,30,3
Religion and Philosophy,32,3
