time_window,subject_l1,subject_l2,weighted_article_count,article_count,author_count,first_year,last_year,share
1878-1887,"Politics, Government, and Law",Government,0.9999999999999988,3,2,1882,1887,0.0120481927710843
1878-1887,"Politics, Government, and Law",Political science--Philosophy,0.9999999999999988,3,2,1882,1887,0.0120481927710843
1878-1887,Geography and Travel,Navigation,0.666666666666666,2,1,1885,1886,0.0080321285140562
1878-1887,Anthropology and Social Customs,Anthropology,0.333333333333333,1,1,1884,1884,0.0040160642570281
1878-1887,Education,Education,0.333333333333333,1,1,1887,1887,0.0040160642570281
1878-1887,Anthropology and Social Customs,Ethnology,0.333333333333333,1,1,1884,1884,0.0040160642570281
1878-1887,Arts and Archaeology,Porcelain,0.25,1,1,1887,1887,0.003012048192771
1888-1897,Literature and Language,Language and languages,6.199999999999999,11,8,1889,1896,0.1291666666666666
1888-1897,History and Chronology,History,5.616666666666665,11,9,1888,1895,0.1170138888888888
1888-1897,Natural Sciences,Botany,3.333333333333333,4,2,1890,1894,0.0694444444444444
1888-1897,Anthropology and Social Customs,Manners and customs,3.0,4,3,1888,1892,0.0625
1888-1897,Arts and Archaeology,Numismatics,2.583333333333333,5,4,1889,1896,0.0538194444444444
1888-1897,Arts and Archaeology,Architecture,2.5,3,3,1888,1889,0.0520833333333333
1888-1897,"Economy, Trade, and Technology",Telecommunication,2.5,3,3,1892,1896,0.0520833333333333
1888-1897,"Economy, Trade, and Technology",Economics,2.1666666666666647,6,3,1892,1896,0.0451388888888888
1888-1897,Anthropology and Social Customs,Anthropology,1.75,4,3,1891,1896,0.0364583333333333
1888-1897,Anthropology and Social Customs,Ethnology,1.75,4,3,1891,1896,0.0364583333333333
1888-1897,"Politics, Government, and Law",Government,1.666666666666665,5,2,1892,1895,0.0347222222222221
1888-1897,Religion and Philosophy,Buddhism,1.5,2,2,1888,1891,0.03125
1888-1897,Natural Sciences,Hydrology,1.5,2,2,1888,1896,0.03125
1888-1897,Literature and Language,Literature,1.366666666666666,5,5,1889,1896,0.0284722222222222
1888-1897,Geography and Travel,Travel,1.333333333333333,2,1,1894,1895,0.0277777777777777
1888-1897,Natural Sciences,Astronomy,1.2,2,2,1889,1891,0.025
1888-1897,Religion and Philosophy,Christianity,1.0,1,1,1889,1889,0.0208333333333333
1888-1897,Geography and Travel,Geography,1.0,1,1,1894,1894,0.0208333333333333
1888-1897,Religion and Philosophy,Philosophy,1.0,1,1,1896,1896,0.0208333333333333
1888-1897,Religion and Philosophy,Taoism,1.0,1,1,1888,1888,0.0208333333333333
1888-1897,Natural Sciences,Zoology,1.0,1,1,1889,1889,0.0208333333333333
1888-1897,"Politics, Government, and Law",Political science--Philosophy,0.9999999999999988,3,2,1892,1894,0.0208333333333333
1888-1897,"Politics, Government, and Law",Law,0.75,2,2,1888,1892,0.015625
1888-1897,"Politics, Government, and Law",Political science,0.333333333333333,1,1,1895,1895,0.0069444444444444
1888-1897,Natural Sciences,Agriculture,0.25,1,1,1888,1888,0.0052083333333333
1888-1897,"Economy, Trade, and Technology",Commerce,0.25,1,1,1888,1888,0.0052083333333333
1888-1897,"Economy, Trade, and Technology",Industries,0.25,1,1,1888,1888,0.0052083333333333
1888-1897,Religion and Philosophy,Religion,0.2,1,1,1889,1889,0.0041666666666666
1898-1907,Anthropology and Social Customs,Manners and customs,4.5,5,5,1898,1907,0.1216216216216216
1898-1907,Arts and Archaeology,Numismatics,2.5,3,3,1900,1907,0.0675675675675675
1898-1907,Religion and Philosophy,Philosophy,2.25,3,3,1900,1901,0.0608108108108108
1898-1907,Geography and Travel,Travel,2.25,3,3,1905,1905,0.0608108108108108
1898-1907,"Economy, Trade, and Technology",Economics,2.166666666666666,4,4,1898,1906,0.0585585585585585
1898-1907,History and Chronology,Biography,2.0,2,2,1903,1903,0.054054054054054
1898-1907,History and Chronology,History,2.0,2,2,1900,1905,0.054054054054054
1898-1907,Anthropology and Social Customs,Mythology,2.0,2,1,1901,1905,0.054054054054054
1898-1907,Anthropology and Social Customs,Anthropology,1.666666666666666,4,2,1900,1906,0.045045045045045
1898-1907,Anthropology and Social Customs,Ethnology,1.666666666666666,4,2,1900,1906,0.045045045045045
1898-1907,"Politics, Government, and Law",Law,1.5,2,2,1906,1907,0.0405405405405405
1898-1907,Religion and Philosophy,Religion,1.25,2,2,1900,1900,0.0337837837837837
1898-1907,Natural Sciences,Agriculture,1.083333333333333,4,3,1898,1905,0.0292792792792792
1898-1907,"Economy, Trade, and Technology",Commerce,1.083333333333333,4,3,1898,1905,0.0292792792792792
1898-1907,"Economy, Trade, and Technology",Industries,1.083333333333333,4,3,1898,1905,0.0292792792792792
1898-1907,Natural Sciences,Astronomy,1.0,1,1,1907,1907,0.027027027027027
1898-1907,Natural Sciences,Botany,1.0,1,1,1907,1907,0.027027027027027
1898-1907,Religion and Philosophy,Judaism,1.0,1,1,1906,1906,0.027027027027027
1898-1907,"Politics, Government, and Law",Government,0.916666666666666,3,3,1898,1900,0.0247747747747747
1898-1907,"Politics, Government, and Law",Political science--Philosophy,0.916666666666666,3,3,1898,1900,0.0247747747747747
1898-1907,Geography and Travel,Geography,0.666666666666666,2,1,1903,1906,0.018018018018018
1898-1907,Natural Sciences,Hydrology,0.5,2,1,1900,1905,0.0135135135135135
1898-1907,Arts and Archaeology,Archaeology,0.5,1,1,1898,1898,0.0135135135135135
1898-1907,Arts and Archaeology,Art,0.5,1,1,1898,1898,0.0135135135135135
1898-1907,Religion and Philosophy,Confucianism,0.5,1,1,1900,1900,0.0135135135135135
1898-1907,Arts and Archaeology,Music,0.5,1,1,1900,1900,0.0135135135135135
1908-1917,Natural Sciences,Zoology,8.0,8,7,1909,1917,0.1081081081081081
1908-1917,Literature and Language,Language and languages,7.0,7,6,1913,1917,0.0945945945945946
1908-1917,Arts and Archaeology,Archaeology,6.166666666666666,11,8,1909,1917,0.0833333333333333
1908-1917,Anthropology and Social Customs,Manners and customs,4.0,4,3,1910,1915,0.054054054054054
1908-1917,History and Chronology,History,3.833333333333333,6,6,1912,1916,0.0518018018018018
1908-1917,Arts and Archaeology,Decorative arts,3.5,4,1,1912,1914,0.0472972972972973
1908-1917,Religion and Philosophy,Christianity,3.333333333333333,4,1,1910,1915,0.045045045045045
1908-1917,Geography and Travel,Travel,3.25,5,4,1909,1914,0.0439189189189189
1908-1917,Religion and Philosophy,Buddhism,3.25,4,2,1915,1917,0.0439189189189189
1908-1917,Religion and Philosophy,Religion,3.25,4,4,1912,1917,0.0439189189189189
1908-1917,Arts and Archaeology,Art,3.166666666666666,8,5,1910,1917,0.0427927927927927
1908-1917,Arts and Archaeology,Music,2.25,3,3,1908,1915,0.0304054054054054
1908-1917,Arts and Archaeology,Bronzes,2.0,2,1,1916,1917,0.027027027027027
1908-1917,Religion and Philosophy,Confucianism,2.0,2,2,1910,1913,0.027027027027027
1908-1917,"Politics, Government, and Law",Law,2.0,2,2,1909,1914,0.027027027027027
1908-1917,Arts and Archaeology,Painting,2.0,2,1,1914,1917,0.027027027027027
1908-1917,Anthropology and Social Customs,Mythology,1.5,2,2,1916,1917,0.0202702702702702
1908-1917,Arts and Archaeology,Architecture,1.0,1,1,1915,1915,0.0135135135135135
1908-1917,Natural Sciences,Astronomy,1.0,1,1,1915,1915,0.0135135135135135
1908-1917,Natural Sciences,Botany,1.0,1,1,1916,1916,0.0135135135135135
1908-1917,History and Chronology,"Chronology, Historical",1.0,1,1,1914,1914,0.0135135135135135
1908-1917,History and Chronology,"History, Modern (20th century)",1.0,1,1,1911,1911,0.0135135135135135
1908-1917,Inscriptions and Miscellaneous,Inscriptions,1.0,1,1,1915,1915,0.0135135135135135
1908-1917,Natural Sciences,Meteorology,1.0,1,1,1914,1914,0.0135135135135135
1908-1917,Arts and Archaeology,Numismatics,1.0,1,1,1917,1917,0.0135135135135135
1908-1917,Religion and Philosophy,Philosophy,1.0,1,1,1913,1913,0.0135135135135135
1908-1917,Arts and Archaeology,Sculpture,1.0,1,1,1917,1917,0.0135135135135135
1908-1917,Religion and Philosophy,Taoism,1.0,1,1,1914,1914,0.0135135135135135
1908-1917,Anthropology and Social Customs,Anthropology,0.5,1,1,1917,1917,0.0067567567567567
1908-1917,Anthropology and Social Customs,Ethnology,0.5,1,1,1917,1917,0.0067567567567567
1908-1917,Natural Sciences,Geology,0.5,1,1,1914,1914,0.0067567567567567
1908-1917,Natural Sciences,Hydrology,0.5,1,1,1914,1914,0.0067567567567567
1908-1917,Literature and Language,Literature,0.5,1,1,1913,1913,0.0067567567567567
1918-1927,Natural Sciences,Zoology,17.833333333333332,21,11,1918,1927,0.1393229166666666
1918-1927,Literature and Language,Language and languages,15.0,15,9,1919,1923,0.1171875
1918-1927,Geography and Travel,Travel,6.916666666666665,11,9,1919,1926,0.0540364583333333
1918-1927,Religion and Philosophy,Religion,6.833333333333333,8,8,1918,1926,0.0533854166666666
1918-1927,Religion and Philosophy,Philosophy,5.0,5,5,1918,1926,0.0390625
1918-1927,Anthropology and Social Customs,Anthropology,4.999999999999999,11,10,1919,1927,0.0390625
1918-1927,Anthropology and Social Customs,Ethnology,4.999999999999999,11,10,1919,1927,0.0390625
1918-1927,Anthropology and Social Customs,Manners and customs,4.833333333333333,7,6,1918,1923,0.0377604166666666
1918-1927,Religion and Philosophy,China--Religion,4.5,5,5,1924,1927,0.03515625
1918-1927,Natural Sciences,Geology,4.5,5,5,1920,1926,0.03515625
1918-1927,Natural Sciences,Botany,3.833333333333332,7,4,1919,1922,0.0299479166666666
1918-1927,Arts and Archaeology,Art,3.5,7,5,1919,1927,0.02734375
1918-1927,History and Chronology,Biography,3.5,4,4,1923,1927,0.02734375
1918-1927,Literature and Language,Literature,3.5,4,4,1925,1927,0.02734375
1918-1927,Religion and Philosophy,Christianity,3.0,3,2,1921,1923,0.0234375
1918-1927,Religion and Philosophy,Islam,3.0,3,2,1918,1925,0.0234375
1918-1927,Religion and Philosophy,Taoism,3.0,3,2,1918,1923,0.0234375
1918-1927,Geography and Travel,Asia,2.833333333333332,7,7,1924,1927,0.0221354166666666
1918-1927,Natural Sciences,Agriculture,2.583333333333332,6,3,1919,1924,0.0201822916666666
1918-1927,Arts and Archaeology,Archaeology,2.5,6,4,1919,1923,0.01953125
1918-1927,Anthropology and Social Customs,Folklore,2.5,3,3,1924,1924,0.01953125
1918-1927,Geography and Travel,Geography,2.333333333333332,5,5,1921,1926,0.0182291666666666
1918-1927,Literature and Language,East Asian languages,2.0,2,2,1924,1925,0.015625
1918-1927,Inscriptions and Miscellaneous,Miscellaneous,2.0,2,2,1918,1923,0.015625
1918-1927,History and Chronology,History,1.833333333333333,4,3,1920,1923,0.0143229166666666
1918-1927,History and Chronology,"History, Modern",1.5,3,3,1925,1927,0.01171875
1918-1927,Natural Sciences,Hydrology,1.5,2,2,1918,1922,0.01171875
1918-1927,Religion and Philosophy,Buddhism,1.0,1,1,1923,1923,0.0078125
1918-1927,History and Chronology,"History, Ancient",1.0,1,1,1926,1926,0.0078125
1918-1927,Inscriptions and Miscellaneous,Inscriptions,1.0,1,1,1926,1926,0.0078125
1918-1927,Arts and Archaeology,Painting,1.0,1,1,1918,1918,0.0078125
1918-1927,"Politics, Government, and Law",Political science,1.0,1,1,1927,1927,0.0078125
1918-1927,Anthropology and Social Customs,Mythology,0.833333333333333,2,2,1925,1926,0.0065104166666666
1918-1927,Arts and Archaeology,Antiquities,0.333333333333333,1,1,1926,1926,0.0026041666666666
1918-1927,Natural Sciences,Chemistry,0.25,1,1,1919,1919,0.001953125
1918-1927,"Economy, Trade, and Technology",Commerce,0.25,1,1,1919,1919,0.001953125
1918-1927,"Economy, Trade, and Technology",Economics,0.25,1,1,1921,1921,0.001953125
1918-1927,"Politics, Government, and Law",Government,0.25,1,1,1921,1921,0.001953125
1918-1927,"Economy, Trade, and Technology",Industries,0.25,1,1,1919,1919,0.001953125
1918-1927,"Politics, Government, and Law",Political science--Philosophy,0.25,1,1,1921,1921,0.001953125
1928-1937,Literature and Language,Literature,7.5,8,8,1928,1935,0.0700934579439252
1928-1937,Arts and Archaeology,Archaeology,7.0,7,5,1933,1937,0.0654205607476635
1928-1937,Geography and Travel,Geography,6.583333333333332,10,10,1928,1937,0.0615264797507788
1928-1937,Religion and Philosophy,China--Religion,6.5,7,7,1928,1931,0.0607476635514018
1928-1937,Geography and Travel,Travel,5.583333333333332,9,8,1928,1936,0.0521806853582554
1928-1937,History and Chronology,History,5.5,6,6,1932,1937,0.0514018691588785
1928-1937,Natural Sciences,Botany,5.0,5,3,1928,1931,0.0467289719626168
1928-1937,Religion and Philosophy,Religion,4.5,5,4,1928,1936,0.0420560747663551
1928-1937,Religion and Philosophy,Christianity,4.0,4,1,1932,1936,0.0373831775700934
1928-1937,Literature and Language,East Asian languages,4.0,4,4,1930,1931,0.0373831775700934
1928-1937,Religion and Philosophy,Philosophy,3.5,4,4,1930,1933,0.0327102803738317
1928-1937,Anthropology and Social Customs,Anthropology,3.0,4,4,1929,1934,0.02803738317757
1928-1937,"Economy, Trade, and Technology",Economics,3.0,3,3,1929,1936,0.02803738317757
1928-1937,Arts and Archaeology,Painting,3.0,3,2,1932,1935,0.02803738317757
1928-1937,Arts and Archaeology,Porcelain,3.0,3,2,1928,1932,0.02803738317757
1928-1937,Geography and Travel,Asia,2.583333333333332,7,7,1928,1931,0.0241433021806853
1928-1937,History and Chronology,"Chronology, Historical",2.5,3,2,1931,1934,0.0233644859813084
1928-1937,History and Chronology,"History, Ancient",2.5,3,3,1930,1936,0.0233644859813084
1928-1937,Anthropology and Social Customs,Ethnology,2.0,3,3,1929,1935,0.0186915887850467
1928-1937,Arts and Archaeology,Art,2.0,2,2,1929,1937,0.0186915887850467
1928-1937,Natural Sciences,Astronomy,2.0,2,2,1931,1935,0.0186915887850467
1928-1937,Natural Sciences,Geology,2.0,2,1,1928,1929,0.0186915887850467
1928-1937,Literature and Language,Language and languages,2.0,2,2,1933,1935,0.0186915887850467
1928-1937,History and Chronology,Biography,1.5,2,2,1928,1928,0.014018691588785
1928-1937,Religion and Philosophy,Islam,1.5,2,1,1929,1931,0.014018691588785
1928-1937,History and Chronology,"History, Modern",1.25,3,3,1928,1931,0.0116822429906542
1928-1937,Natural Sciences,Agriculture,1.0,1,1,1937,1937,0.0093457943925233
1928-1937,Arts and Archaeology,Antiquities,1.0,1,1,1932,1932,0.0093457943925233
1928-1937,Arts and Archaeology,Architecture,1.0,1,1,1936,1936,0.0093457943925233
1928-1937,"Politics, Government, and Law","Associations, institutions, etc.",1.0,1,1,1928,1928,0.0093457943925233
1928-1937,Religion and Philosophy,Buddhism,1.0,1,1,1934,1934,0.0093457943925233
1928-1937,Religion and Philosophy,Confucianism,1.0,1,1,1936,1936,0.0093457943925233
1928-1937,Anthropology and Social Customs,Folklore,1.0,1,1,1928,1928,0.0093457943925233
1928-1937,Inscriptions and Miscellaneous,Inscriptions,1.0,1,1,1929,1929,0.0093457943925233
1928-1937,Natural Sciences,Medicine,1.0,1,1,1931,1931,0.0093457943925233
1928-1937,"Politics, Government, and Law",Political science,1.0,1,1,1928,1928,0.0093457943925233
1928-1937,Natural Sciences,Science,1.0,1,1,1930,1930,0.0093457943925233
1928-1937,Natural Sciences,Zoology,1.0,1,1,1931,1931,0.0093457943925233
1928-1937,Education,Education,0.5,1,1,1928,1928,0.0046728971962616
1928-1937,Arts and Archaeology,Music,0.5,1,1,1928,1928,0.0046728971962616
1928-1937,Anthropology and Social Customs,Mythology,0.5,1,1,1928,1928,0.0046728971962616
1938-1948,Arts and Archaeology,Archaeology,5.0,5,5,1938,1946,0.15625
1938-1948,Religion and Philosophy,Religion,5.0,5,5,1938,1948,0.15625
1938-1948,Literature and Language,Language and languages,4.0,4,4,1938,1948,0.125
1938-1948,Anthropology and Social Customs,Ethnology,3.0,3,3,1939,1946,0.09375
1938-1948,History and Chronology,History,3.0,3,3,1938,1946,0.09375
1938-1948,Religion and Philosophy,Christianity,2.0,2,2,1948,1948,0.0625
1938-1948,Literature and Language,Literature,2.0,2,1,1946,1948,0.0625
1938-1948,Natural Sciences,Science,2.0,2,2,1939,1946,0.0625
1938-1948,Natural Sciences,Zoology,2.0,2,2,1940,1948,0.0625
1938-1948,"Economy, Trade, and Technology",Economics,1.0,1,1,1940,1940,0.03125
1938-1948,Geography and Travel,Geography,1.0,1,1,1940,1940,0.03125
1938-1948,"Politics, Government, and Law",Law,1.0,1,1,1946,1946,0.03125
1938-1948,Natural Sciences,Medicine,1.0,1,1,1940,1940,0.03125
